attribute_id,attribute_name,attribute_question,group_id,active
1,Asunnot,"{'fi':'Onko rakennuksessa asunnot?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
101,Asuinhuone,"{'fi':'Onko rakennuksessa asuinhuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
102,Eteinen,"{'fi':'Onko rakennuksessa eteinen?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
103,Keittiö,"{'fi':'Onko rakennuksessa keittiö?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
104,Kodinhoitohuone,"{'fi':'Onko rakennuksessa kodinhoitohuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
105,Käytävä,"{'fi':'Onko rakennuksessa käytävä?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
106,Löylyhuone,"{'fi':'Onko rakennuksessa löylyhuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
107,Makuuhuone,"{'fi':'Onko rakennuksessa makuuhuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
108,Olohuone,"{'fi':'Onko rakennuksessa olohuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
109,Pesuhuone,"{'fi':'Onko rakennuksessa pesuhuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
110,Ruokailutila,"{'fi':'Onko rakennuksessa ruokailutila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
111,Tuulikaappi,"{'fi':'Onko rakennuksessa tuulikaappi?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
112,Vaatehuone,"{'fi':'Onko rakennuksessa vaatehuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
113,Varastohuone,"{'fi':'Onko rakennuksessa varastohuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
114,WC,"{'fi':'Onko rakennuksessa wc?,','sv':'samma på svenska','en':'in enklish'}",1,True,"{'fi':'','sv':'','en':''}"
115,Porras,"{'fi':'Onko rakennuksessa porras?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
116,WC-pesuhuone,"{'fi':'Onko rakennuksessa wc-pesuhuone?,','sv':'samma på svenska','en':'in enklish'}",1,True,"{'fi':'','sv':'','en':''}"
117,Keittotila,"{'fi':'Onko rakennuksessa keittotila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2,Talotekniikka,"{'fi':'Onko rakennuksessa talotekniikka?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
201,Tekniikkatila,"{'fi':'Onko rakennuksessa tekniikkatila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
202,IV-konehuone,"{'fi':'Onko rakennuksessa iv-konehuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
203,Tekniikkakomero,"{'fi':'Onko rakennuksessa tekniikkakomero?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
204,Muuntamo,"{'fi':'Onko rakennuksessa muuntamo?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
205,Ristikytkentätila,"{'fi':'Onko rakennuksessa ristikytkentätila','sv':'samma på svenska','en':'in enklish'}",,False,"{'fi':'','sv':'','en':''}"
206,Ilmanvaihto,"{'fi':'Onko rakennuksessa ilmanvaihto','sv':'samma på svenska','en':'in enklish'}",,False,"{'fi':'','sv':'','en':''}"
207,Kasvien kasvatus,"{'fi':'Onko rakennuksessa kasvien kasvatus?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
208,Kasvihuone,"{'fi':'Onko rakennuksessa kasvihuone','sv':'samma på svenska','en':'in enklish'}",,False,"{'fi':'','sv':'','en':''}"
3,Asumisen yhteistoiminta,"{'fi':'Onko rakennuksessa asumisen yhteistoiminta?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
301,Irtaimistovarasto,"{'fi':'Onko rakennuksessa irtaimistovarasto?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
302,Pukuhuone,"{'fi':'Onko rakennuksessa pukuhuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
303,"WC, esteetön","{'fi':'Onko rakennuksessa wc, esteetön?','sv':'samma på svenska','en':'in enklish'}",1,True,"{'fi':'','sv':'','en':''}"
