attribute_id,attribute_name,attribute_question,group_id,active
1,Asunnot,Onko rakennuksessa asunnot?,0,1
101,Asuinhuone,Onko rakennuksessa asuinhuone?,0,1
102,Eteinen,Onko rakennuksessa eteinen?,0,1
103,Keittiö,Onko rakennuksessa keittiö?,0,1
104,Kodinhoitohuone,Onko rakennuksessa kodinhoitohuone?,0,1
105,Käytävä,Onko rakennuksessa käytävä?,0,1
106,Löylyhuone,Onko rakennuksessa löylyhuone?,0,1
107,Makuuhuone,Onko rakennuksessa makuuhuone?,0,1
108,Olohuone,Onko rakennuksessa olohuone?,0,1
109,Pesuhuone,Onko rakennuksessa pesuhuone?,0,1
110,Ruokailutila,Onko rakennuksessa ruokailutila?,0,1
111,Tuulikaappi,Onko rakennuksessa tuulikaappi?,0,1
112,Vaatehuone,Onko rakennuksessa vaatehuone?,0,1
113,Varastohuone,Onko rakennuksessa varastohuone?,0,1
114,WC,Onko rakennuksessa wc?,1,1
115,Porras,Onko rakennuksessa porras?,0,1
116,WC-pesuhuone,Onko rakennuksessa wc-pesuhuone?,1,1
117,Keittotila,Onko rakennuksessa keittotila?,0,1
2,Talotekniikka,Onko rakennuksessa talotekniikka?,0,1
201,Tekniikkatila,Onko rakennuksessa tekniikkatila?,0,1
202,IV-konehuone,Onko rakennuksessa iv-konehuone?,0,1
203,Tekniikkakomero,Onko rakennuksessa tekniikkakomero?,0,1
204,Muuntamo,Onko rakennuksessa muuntamo?,0,1
205,Ristikytkentätila,Onko rakennuksessa ristikytkentätila?,0,0
206,Ilmanvaihto,Onko rakennuksessa ilmanvaihto?,0,0
207,Kasvien kasvatus,Onko rakennuksessa kasvien kasvatus?,0,1
208,Kasvihuone,Onko rakennuksessa kasvihuone?,0,0
3,Asumisen yhteistoiminta,Onko rakennuksessa asumisen yhteistoiminta?,0,1
301,Irtaimistovarasto,Onko rakennuksessa irtaimistovarasto?,0,1
302,Pukuhuone,Onko rakennuksessa pukuhuone?,0,1
303,"WC, esteetön","Onko rakennuksessa wc, esteetön?",1,1
304,Apuvälinevarasto,Onko rakennuksessa apuvälinevarasto?,0,1
305,Kuivaushuone,Onko rakennuksessa kuivaushuone?,0,1
306,Pesulatila,Onko rakennuksessa pesulatila?,0,1
307,"WC,esteetön","Onko rakennuksessa wc,esteetön?",0,1
308,Kerhohuone,Onko rakennuksessa kerhohuone?,0,1
309,Oleskelutila,Onko rakennuksessa oleskelutila?,0,1
310,Aula,Onko rakennuksessa aula?,0,1
4,Kiinteistö,Onko rakennuksessa kiinteistö?,0,1
401,Jätehuone,Onko rakennuksessa jätehuone?,0,1
402,Siivoustila,Onko rakennuksessa siivoustila?,0,1
403,Varasto,Onko rakennuksessa varasto?,0,1
404,VSS,Onko rakennuksessa vss?,0,1
405,Siivouskeskus,Onko rakennuksessa siivouskeskus?,0,1
406,Siivouskomero,Onko rakennuksessa siivouskomero?,0,1
407,Siivous,Onko rakennuksessa siivous?,0,1
408,VSS-tekniikka- ja välinevaraus,Onko rakennuksessa vss-tekniikka- ja välinevaraus?,0,0
5,Osastoiva liikenne,Onko rakennuksessa osastoiva liikenne?,0,1
501,Porrasaula,Onko rakennuksessa porrasaula?,0,1
502,Porrashuone,Onko rakennuksessa porrashuone?,0,1
6,Palveluasuminen,Onko rakennuksessa palveluasuminen?,0,1
601,"WC-pesuhuone, esteetön","Onko rakennuksessa wc-pesuhuone, esteetön?",1,1
7,Tietotyö,Onko rakennuksessa tietotyö?,0,1
701,Keskittymistila,Onko rakennuksessa keskittymistila?,0,1
702,Työpistealue,Onko rakennuksessa työpistealue?,0,1
703,Toimistotila,Onko rakennuksessa toimistotila?,0,1
704,Toimistohuone,Onko rakennuksessa toimistohuone?,0,1
705,Neuvottelualue,Onko rakennuksessa neuvottelualue?,0,1
706,Neuvottelutila,Onko rakennuksessa neuvottelutila?,0,1
707,Toimistoaputila,Onko rakennuksessa toimistoaputila?,0,1
708,Valvomo,Onko rakennuksessa valvomo?,0,1
709,Postinjakelu,Onko rakennuksessa postinjakelu?,0,0
710,Arkistotila,Onko rakennuksessa arkistotila?,0,1
711,Palveltila,Onko rakennuksessa palveltila?,0,0
712,Postijakelu,Onko rakennuksessa postijakelu?,0,0
8,Henkilöstö,Onko rakennuksessa henkilöstö?,0,1
801,Taukotila,Onko rakennuksessa taukotila?,0,1
802,Säilytyslokerot,Onko rakennuksessa säilytyslokerot?,0,1
803,Kiinteistötoiminta,Onko rakennuksessa kiinteistötoiminta?,0,1
9,Laitospalvelu,Onko rakennuksessa laitospalvelu?,0,1
901,Huoltohuone,Onko rakennuksessa huoltohuone?,0,1
902,Jakelukeittiö,Onko rakennuksessa jakelukeittiö?,0,1
903,Lääkehuone,Onko rakennuksessa lääkehuone?,0,1
904,Tavaran vastaanotto,Onko rakennuksessa tavaran vastaanotto?,0,1
905,Varastosyvennys,Onko rakennuksessa varastosyvennys?,0,1
906,Pesula,Onko rakennuksessa pesula?,0,1
10,Asunto,Onko rakennuksessa asunto?,0,0
1001,Tupa,Onko rakennuksessa tupa?,0,1
11,Varastointi,Onko rakennuksessa varastointi?,0,1
1101,"Varastohuone, lämmittämätön","Onko rakennuksessa varastohuone, lämmittämätön?",0,1
1102,Kylmävarasto,Onko rakennuksessa kylmävarasto?,0,1
1103,Pakastevarasto,Onko rakennuksessa pakastevarasto?,0,1
1104,Ulkovarasto,Onko rakennuksessa ulkovarasto?,0,1
12,Saunominen,Onko rakennuksessa saunominen?,0,0
13,Kauppa,Onko rakennuksessa kauppa?,0,1
1301,Kassa-alue,Onko rakennuksessa kassa-alue?,0,1
1302,Laitetila,Onko rakennuksessa laitetila?,0,1
1303,Myyntialue,Onko rakennuksessa myyntialue?,0,1
1304,Varastotila,Onko rakennuksessa varastotila?,0,1
1305,Palvelupiste,Onko rakennuksessa palvelupiste?,0,1
1306,Sovitustila,Onko rakennuksessa sovitustila?,0,1
1307,Varastohalli,Onko rakennuksessa varastohalli?,0,1
1308,Liiketila,Onko rakennuksessa liiketila?,0,0
14,Muu toiminta,Onko rakennuksessa muu toiminta?,0,0
1401,Valmistuskeittiö,Onko rakennuksessa valmistuskeittiö?,0,1
1402,ATK-opetustila,Onko rakennuksessa atk-opetustila?,0,1
1403,Kappelisali,Onko rakennuksessa kappelisali?,0,1
1404,Metallityötila,Onko rakennuksessa metallityötila?,0,1
1405,Opetuskeittiö,Onko rakennuksessa opetuskeittiö?,0,1
1406,Puutyökonesali,Onko rakennuksessa puutyökonesali?,0,1
1407,Sähkötyötila,Onko rakennuksessa sähkötyötila?,0,1
1408,Tapaamistila,Onko rakennuksessa tapaamistila?,0,1
1409,Tekstiilityötila,Onko rakennuksessa tekstiilityötila?,0,1
15,Ravinto,Onko rakennuksessa ravinto?,0,1
1501,Baari,Onko rakennuksessa baari?,0,1
1502,Jätekylmiö,Onko rakennuksessa jätekylmiö?,0,1
1503,Ravintolasali,Onko rakennuksessa ravintolasali?,0,1
1504,Vaatetila,Onko rakennuksessa vaatetila?,0,1
1505,Kahvilasali,Onko rakennuksessa kahvilasali?,0,1
1506,Astiapalautus,Onko rakennuksessa astiapalautus?,0,1
