class_id,class_name,class_probability
110.0,"{""fi"":""Omakotitalot"", ""sv"":""[Svenska]Omakotitalot"", ""en"":""[English]Omakotitalot""}",0.04
111.0,"{""fi"":""Paritalot"", ""sv"":""[Svenska]Paritalot"", ""en"":""[English]Paritalot""}",0.04
112.0,"{""fi"":""Rivitalot"", ""sv"":""[Svenska]Rivitalot"", ""en"":""[English]Rivitalot""}",0.04
112.1,"{""fi"":""Rivitalot #.1"", ""sv"":""[Svenska]Rivitalot #.1"", ""en"":""[English]Rivitalot #.1""}",0.04
112.2,"{""fi"":""Rivitalot #.2"", ""sv"":""[Svenska]Rivitalot #.2"", ""en"":""[English]Rivitalot #.2""}",0.04
120.0,"{""fi"":""Pienkerrostalot"", ""sv"":""[Svenska]Pienkerrostalot"", ""en"":""[English]Pienkerrostalot""}",0.04
121.0,"{""fi"":""Asuinkerrostalot"", ""sv"":""[Svenska]Asuinkerrostalot"", ""en"":""[English]Asuinkerrostalot""}",0.04
130.0,"{""fi"":""Asuntolarakennukset"", ""sv"":""[Svenska]Asuntolarakennukset"", ""en"":""[English]Asuntolarakennukset""}",0.01
140.0,"{""fi"":""Erityisryhmien asuinrakennukset"", ""sv"":""[Svenska]Erityisryhmien asuinrakennukset"", ""en"":""[English]Erityisryhmien asuinrakennukset""}",0.01
210.0,"{""fi"":""Ympärivuotiseen käyttöön soveltuvat vapaa-ajan asuinrakennukset"", ""sv"":""[Svenska]Ympärivuotiseen käyttöön soveltuvat vapaa-ajan asuinrakennukset"", ""en"":""[English]Ympärivuotiseen käyttöön soveltuvat vapaa-ajan asuinrakennukset""}",0.02
211.0,"{""fi"":""Osavuotiseen käyttöön soveltuvat vapaa-ajan asuinrakennukset"", ""sv"":""[Svenska]Osavuotiseen käyttöön soveltuvat vapaa-ajan asuinrakennukset"", ""en"":""[English]Osavuotiseen käyttöön soveltuvat vapaa-ajan asuinrakennukset""}",0.02
310.0,"{""fi"":""Tukku- ja vähittäiskaupan myymälähallit"", ""sv"":""[Svenska]Tukku- ja vähittäiskaupan myymälähallit"", ""en"":""[English]Tukku- ja vähittäiskaupan myymälähallit""}",0.01
311.0,"{""fi"":""Kauppakeskukset ja liike- ja tavaratalot"", ""sv"":""[Svenska]Kauppakeskukset ja liike- ja tavaratalot"", ""en"":""[English]Kauppakeskukset ja liike- ja tavaratalot""}",0.01
319.0,"{""fi"":""Muut myymälärakennukset"", ""sv"":""[Svenska]Muut myymälärakennukset"", ""en"":""[English]Muut myymälärakennukset""}",0.01
320.0,"{""fi"":""Hotellit"", ""sv"":""[Svenska]Hotellit"", ""en"":""[English]Hotellit""}",0.01
321.0,"{""fi"":""Motellit, hostellit ja vastaavat majoitusliikerakennukset"", ""sv"":""[Svenska]Motellit, hostellit ja vastaavat majoitusliikerakennukset"", ""en"":""[English]Motellit, hostellit ja vastaavat majoitusliikerakennukset""}",0.01
322.0,"{""fi"":""Loma-, lepo- ja virkistyskodit"", ""sv"":""[Svenska]Loma-, lepo- ja virkistyskodit"", ""en"":""[English]Loma-, lepo- ja virkistyskodit""}",0.01
329.0,"{""fi"":""Muut majoitusliikerakennukset"", ""sv"":""[Svenska]Muut majoitusliikerakennukset"", ""en"":""[English]Muut majoitusliikerakennukset""}",0.01
330.0,"{""fi"":""Ravintolarakennukset ja vastaavat liikerakennukset"", ""sv"":""[Svenska]Ravintolarakennukset ja vastaavat liikerakennukset"", ""en"":""[English]Ravintolarakennukset ja vastaavat liikerakennukset""}",0.01
400.0,"{""fi"":""Toimistorakennukset"", ""sv"":""[Svenska]Toimistorakennukset"", ""en"":""[English]Toimistorakennukset""}",0.01
400.1,"{""fi"":""Toimistorakennukset #.1"", ""sv"":""[Svenska]Toimistorakennukset #.1"", ""en"":""[English]Toimistorakennukset #.1""}",0.01
400.2,"{""fi"":""Toimistorakennukset #.2"", ""sv"":""[Svenska]Toimistorakennukset #.2"", ""en"":""[English]Toimistorakennukset #.2""}",0.01
400.3,"{""fi"":""Toimistorakennukset #.3"", ""sv"":""[Svenska]Toimistorakennukset #.3"", ""en"":""[English]Toimistorakennukset #.3""}",0.01
510.0,"{""fi"":""Asemarakennukset ja terminaalit"", ""sv"":""[Svenska]Asemarakennukset ja terminaalit"", ""en"":""[English]Asemarakennukset ja terminaalit""}",0.008
510.1,"{""fi"":""Asemarakennukset ja terminaalit #.1"", ""sv"":""[Svenska]Asemarakennukset ja terminaalit #.1"", ""en"":""[English]Asemarakennukset ja terminaalit #.1""}",0.008
510.2,"{""fi"":""Asemarakennukset ja terminaalit #.2"", ""sv"":""[Svenska]Asemarakennukset ja terminaalit #.2"", ""en"":""[English]Asemarakennukset ja terminaalit #.2""}",0.008
510.3,"{""fi"":""Asemarakennukset ja terminaalit #.3"", ""sv"":""[Svenska]Asemarakennukset ja terminaalit #.3"", ""en"":""[English]Asemarakennukset ja terminaalit #.3""}",0.008
511.0,"{""fi"":""Ammattiliikenteen kaluston suojarakennukset"", ""sv"":""[Svenska]Ammattiliikenteen kaluston suojarakennukset"", ""en"":""[English]Ammattiliikenteen kaluston suojarakennukset""}",0.008
512.0,"{""fi"":""Ammattiliikenteen kaluston huoltorakennukset"", ""sv"":""[Svenska]Ammattiliikenteen kaluston huoltorakennukset"", ""en"":""[English]Ammattiliikenteen kaluston huoltorakennukset""}",0.008
513.0,"{""fi"":""Pysäköintitalot ja -hallit"", ""sv"":""[Svenska]Pysäköintitalot ja -hallit"", ""en"":""[English]Pysäköintitalot ja -hallit""}",0.008
513.1,"{""fi"":""Pysäköintitalot ja -hallit #.1"", ""sv"":""[Svenska]Pysäköintitalot ja -hallit #.1"", ""en"":""[English]Pysäköintitalot ja -hallit #.1""}",0.008
513.2,"{""fi"":""Pysäköintitalot ja -hallit #.2"", ""sv"":""[Svenska]Pysäköintitalot ja -hallit #.2"", ""en"":""[English]Pysäköintitalot ja -hallit #.2""}",0.008
514.0,"{""fi"":""Kulkuneuvojen katokset"", ""sv"":""[Svenska]Kulkuneuvojen katokset"", ""en"":""[English]Kulkuneuvojen katokset""}",0.01
520.0,"{""fi"":""Datakeskukset ja laitetilat"", ""sv"":""[Svenska]Datakeskukset ja laitetilat"", ""en"":""[English]Datakeskukset ja laitetilat""}",0.005
